# freq, energy
1.100900000000000522e-04 9.059922769227887329e+02
1.115380086942686412e-04 5.840980146414552792e+02
1.130050629801320888e-04 4.574176073845122232e+02
1.144914133633786405e-04 3.842832793573783761e+02
1.159973136446872967e-04 3.348841750172639422e+02
1.175230209629660427e-04 2.984839591418403302e+02
1.190687958392589336e-04 2.701327439823520535e+02
1.206349022212314243e-04 2.471858464016174537e+02
1.222216075282400846e-04 2.280828146039542617e+02
1.238291826969963353e-04 2.118344418238326625e+02
1.254579022278294901e-04 1.977785534147943736e+02
1.271080442315592688e-04 1.854525000275626496e+02
1.287798904769836626e-04 1.745216618956362140e+02
1.304737264389931972e-04 1.647370115640317181e+02
1.321898413473162291e-04 1.559087242832838456e+02
1.339285282359064687e-04 1.478891179524783297e+02
1.356900839929798045e-04 1.405612554168083648e+02
1.374748094117087514e-04 1.338311115258487405e+02
1.392830092415849291e-04 1.276220563126645970e+02
1.411149922404559144e-04 1.218708849342411327e+02
1.429710712272470928e-04 1.165249058308737773e+02
1.448515631353763152e-04 1.115397685350363020e+02
1.467567890668725538e-04 1.068778184393108148e+02
1.486870743472047652e-04 1.025068334950018709e+02
1.506427485808329669e-04 9.839904205468523912e+01
1.526241457074889831e-04 9.453035060370552856e+01
1.546316040591990543e-04 9.087973021094131809e+01
1.566654664180546831e-04 8.742872442465846916e+01
1.587260800747446979e-04 8.416105110359291075e+01
1.608137968878557993e-04 8.106227763377268047e+01
1.629289733439549782e-04 7.811955400909261016e+01
1.650719706184603940e-04 7.532139192966099017e+01
1.672431546373138566e-04 7.265748079032533724e+01
1.694428961394644280e-04 7.011853346331830039e+01
1.716715707401728725e-04 6.769615631215312135e+01
1.739295589951507536e-04 6.538273904165748718e+01
1.762172464655411424e-04 6.317136088615032463e+01
1.785350237837552768e-04 6.105571033253234248e+01
1.808832867201738985e-04 5.903001611723595232e+01
1.832624362507279060e-04 5.708898766209936326e+01
1.856728786253658840e-04 5.522776345142281684e+01
1.881150254374235270e-04 5.344186612097776390e+01
1.905892936939040906e-04 5.172716324488072104e+01
1.930961058866852934e-04 5.007983297959296465e+01
1.956358900646608563e-04 4.849633386476554620e+01
1.982090799068320184e-04 4.697337819502831024e+01
2.008161147963593858e-04 4.550790847044241616e+01
2.034574398955906166e-04 4.409707651031379072e+01
2.061335062220729947e-04 4.273822487865366782e+01
2.088447707255667500e-04 4.142887032231593025e+01
2.115916963660715645e-04 4.016668896677896328e+01
2.143747521928778942e-04 3.894950305128053003e+01
2.171944134246606433e-04 3.777526901585123653e+01
2.200511615306236998e-04 3.664206677877579921e+01
2.229454843127135237e-04 3.554809006496957835e+01
2.258778759889123544e-04 3.449163766438819323e+01
2.288488372776294731e-04 3.347110551543438817e+01
2.318588754832000298e-04 3.248497952185834237e+01
2.349085045825100330e-04 3.153182902322416936e+01
2.379982453127589645e-04 3.061030084895979897e+01
2.411286252603794822e-04 2.971911389456361974e+01
2.443001789511239680e-04 2.885705416593145856e+01
2.475134479413376547e-04 2.802297024415737070e+01
2.507689809104306894e-04 2.721576912870997944e+01
2.540673337545689228e-04 2.643441242170701599e+01
2.574090696815945888e-04 2.567791282021628518e+01
2.607947593071967187e-04 2.494533088718229052e+01
2.642249807523464381e-04 2.423577207479317508e+01
2.677003197420125993e-04 2.354838397692410012e+01
2.712213697051782933e-04 2.288235378977136492e+01
2.747887318761704930e-04 2.223690596197806713e+01
2.784030153973238077e-04 2.161130001747826412e+01
2.820648374229929307e-04 2.100482853599233124e+01
2.857748232249363311e-04 2.041681527761496895e+01
2.895336062990827380e-04 1.984661343927949417e+01
2.933418284737038880e-04 1.929360403207058638e+01
2.972001400190083377e-04 1.875719436942027230e+01
3.011091997581795952e-04 1.823681665716602396e+01
3.050696751798718533e-04 1.773192667729644256e+01
3.090822425521870683e-04 1.724200255796421644e+01
3.131475870381494300e-04 1.676654362302414825e+01
3.172664028127017812e-04 1.630506931496071843e+01
3.214393931812376459e-04 1.585711818561686925e+01
3.256672706996939135e-04 1.542224694962523301e+01
3.299507572962232047e-04 1.500002959588678308e+01
3.342905843944650023e-04 1.459005655284055081e+01
3.386874930384409167e-04 1.419193390362850771e+01
3.431422340190903495e-04 1.380528264758648227e+01
3.476555680024714370e-04 1.342973800478662838e+01
3.522282656596470614e-04 1.306494876062523680e+01
3.568611077982819491e-04 1.271057664769218576e+01
3.615548854959677169e-04 1.236629576237986683e+01
3.663104002353032409e-04 1.203179201388978115e+01
3.711284640407511658e-04 1.170676260347808473e+01
3.760098996172935937e-04 1.139091553194846895e+01
3.809555404909142733e-04 1.108396913355248792e+01
3.859662311509258308e-04 1.078565163459707854e+01
3.910428271941688216e-04 1.049570073518595947e+01
3.961861954711106294e-04 1.021386321263763364e+01
4.013972142338625895e-04 9.939894545230281153e+00
4.066767732861454243e-04 9.673558555020751015e+00
4.120257741352278177e-04 9.414627068575192936e+00
4.174451301458605179e-04 9.162879594531309735e+00
4.229357666962401210e-04 8.918103016987704024e+00
4.284986213360198826e-04 8.680091303786259260e+00
4.341346439463991615e-04 8.448645228817344588e+00
4.398447969023223415e-04 8.223572107536842424e+00
4.456300552368065303e-04 8.004685544939299291e+00
4.514914068074331625e-04 7.791805195281356511e+00
