# freq, energy, cw_energy, ccw_energy
1.782589992097363956e-04 6.706767546382305767e+00 6.338317089591164688e+00 3.684504567911419115e-01
1.797725823069280988e-04 6.531596483224411998e+00 6.161508307450758615e+00 3.700881757736536604e-01
1.812990171187725996e-04 6.362194469191422286e+00 5.990620353122918296e+00 3.715741160685039346e-01
1.828384127681646190e-04 6.198317324063393308e+00 5.825405658715036239e+00 3.729116653483572352e-01
1.843908793045534737e-04 6.039734065943012098e+00 5.665629854126319032e+00 3.741042118166939545e-01
1.859565277118092072e-04 5.886226018062632903e+00 5.511070878473496748e+00 3.751551395891360441e-01
1.875354699161569977e-04 5.737585989161423150e+00 5.361518164732030023e+00 3.760678244293929606e-01
1.891278187941794649e-04 5.593617520283699740e+00 5.216771890467353678e+00 3.768456298163465057e-01
1.907336881808845705e-04 5.454134191646984320e+00 5.076642288326477903e+00 3.774919033205057506e-01
1.923531928778451309e-04 5.318958983924797934e+00 4.940949010655203644e+00 3.780099732695937909e-01
1.939864486614042212e-04 5.187923688901762809e+00 4.809520543217302269e+00 3.784031456844607622e-01
1.956335722909536287e-04 5.060868364994314916e+00 4.682193663526504679e+00 3.786747014678096268e-01
1.972946815172789837e-04 4.937640833604358015e+00 4.558812939774933959e+00 3.788278938294238340e-01
1.989698950909794296e-04 4.818096212688865343e+00 4.439230266756175602e+00 3.788659459326895185e-01
2.006593327709554897e-04 4.702096484297989321e+00 4.323304435549777835e+00 3.787920487482111520e-01
2.023631153329709842e-04 4.589510093159589132e+00 4.210900734058315109e+00 3.786093591012740234e-01
2.040813645782878878e-04 4.480211573677753023e+00 4.101890575776995895e+00 3.783209979007571278e-01
2.058142033423722287e-04 4.374081202970072191e+00 3.996151154432158403e+00 3.779300485379139540e-01
2.075617555036771567e-04 4.271004677796536697e+00 3.893565122352363517e+00 3.774395554441730694e-01
2.093241459924971072e-04 4.170872813437709326e+00 3.794020290639900761e+00 3.768525227978083425e-01
2.111015007999006508e-04 4.073581262760972876e+00 3.697409349391012956e+00 3.761719133699600870e-01
2.128939469867357419e-04 3.979030253877334111e+00 3.603629606376246297e+00 3.754006475010877586e-01
2.147016126927147901e-04 3.887124344936300879e+00 3.512582742736814811e+00 3.745416021994854017e-01
2.165246271455738107e-04 3.797772194737874862e+00 3.424174584383866460e+00 3.735976103540084026e-01
2.183631206703112368e-04 3.710886347957614628e+00 3.338314887903976569e+00 3.725714600536383925e-01
2.202172246985055254e-04 3.626383033886726448e+00 3.254917139879767163e+00 3.714658940069595627e-01
2.220870717777093627e-04 3.544181977684434326e+00 3.173898368629394451e+00 3.702836090550398751e-01
2.239727955809271633e-04 3.464206223225355874e+00 3.095178967453756425e+00 3.690272557715997825e-01
2.258745309161693307e-04 3.386381966702732615e+00 3.018682528558015665e+00 3.676994381447170057e-01
2.277924137360914111e-04 3.310638400217911670e+00 2.944335686883257974e+00 3.663027133346539177e-01
2.297265811477113093e-04 3.236907564650628455e+00 2.872067973147906628e+00 3.648395915027214942e-01
2.316771714222126449e-04 3.165124211161556289e+00 2.801811675455173845e+00 3.633125357063822780e-01
2.336443240048281496e-04 3.095225670731500678e+00 2.733501708875412106e+00 3.617239618560880721e-01
2.356281795248089603e-04 3.027151731188571393e+00 2.667075492458970132e+00 3.600762387296012612e-01
2.376288798054788053e-04 2.960844521218204406e+00 2.602472833178402833e+00 3.583716880398016835e-01
2.396465678743711321e-04 2.896248400890227170e+00 2.539635816338013274e+00 3.566125845522142290e-01
2.416813879734558174e-04 2.833309858272795356e+00 2.478508702024092791e+00 3.548011562487025650e-01
2.437334855694490076e-04 2.771977411736195940e+00 2.419037827202202173e+00 3.529395845339934890e-01
2.458030073642142235e-04 2.712201517578961329e+00 2.361171513097086283e+00 3.510300044818749354e-01
2.478901013052478412e-04 2.653934482636596037e+00 2.304859977518491032e+00 3.490745051181050607e-01
2.499949165962579516e-04 2.597130381557768875e+00 2.250055251820540558e+00 3.470751297372280941e-01
2.521176037078285727e-04 2.541744978456314641e+00 2.196711102205644472e+00 3.450338762506703350e-01
2.542583143881778081e-04 2.487735652667956376e+00 2.144782955104333144e+00 3.429526975636231767e-01
2.564172016740064826e-04 2.435061328360359489e+00 2.094227826381980240e+00 3.408335019783793607e-01
2.585944199014370373e-04 2.383682407762780731e+00 2.045004254140866617e+00 3.386781536219140021e-01
2.607901247170488646e-04 2.333560707797802447e+00 1.997072234902170562e+00 3.364884728956317739e-01
2.630044730890029273e-04 2.284659399912985389e+00 1.950393162967659411e+00 3.342662369453258675e-01
2.652376233182656903e-04 2.236942952923775874e+00 1.904929772774275776e+00 3.320131801495003199e-01
2.674897350499234753e-04 2.190377078692175683e+00 1.860646084067852701e+00 3.297309946243231482e-01
2.697609692845975913e-04 2.144928680477124150e+00 1.817507349733552990e+00 3.274213307435713260e-01
2.720514883899520574e-04 2.100565803803790210e+00 1.775480006131758604e+00 3.250857976720318288e-01
2.743614561123018832e-04 2.057257589708759937e+00 1.734531625797854248e+00 3.227259639109055223e-01
2.766910375883200137e-04 2.014974230227604135e+00 1.694630872373751762e+00 3.203433578538524840e-01
2.790403993568407130e-04 1.973686925999971642e+00 1.655747457647573473e+00 3.179394683523979470e-01
2.814097093707674103e-04 1.933367845875151758e+00 1.617852100585665198e+00 3.155157452894866710e-01
2.837991370090776921e-04 1.893990088408766814e+00 1.580916488248707452e+00 3.130736001600595841e-01
2.862088530889325385e-04 1.855527645147870386e+00 1.544913238490287721e+00 3.106144066575827756e-01
2.886390298778888312e-04 1.817955365608264540e+00 1.509815864342739289e+00 3.081395012655253063e-01
2.910898411062126374e-04 1.781248923853834487e+00 1.475598740000978237e+00 3.056501838528563053e-01
2.935614619793010228e-04 1.745384786593040527e+00 1.442237068320372018e+00 3.031477182726686204e-01
2.960540691902052365e-04 1.710340182713080637e+00 1.409706849749969848e+00 3.006333329631107332e-01
2.985678409322643236e-04 1.676093074176816522e+00 1.377984852626967571e+00 2.981082215498488397e-01
3.011029569118418435e-04 1.642622128212202659e+00 1.347048584762867263e+00 2.955735434493355629e-01
3.036595983611750215e-04 1.609906690727930023e+00 1.316876266255726735e+00 2.930304244722032325e-01
3.062379480513287961e-04 1.577926760893086922e+00 1.287446803466932854e+00 2.904799574261541228e-01
3.088381903052628947e-04 1.546662966822053065e+00 1.258739764104306547e+00 2.879232027177464071e-01
3.114605110110096062e-04 1.516096542309371964e+00 1.230735353356844364e+00 2.853611889525276002e-01
3.141050976349605704e-04 1.486209304562499556e+00 1.203414391029497876e+00 2.827949135330015129e-01
3.167721392352710404e-04 1.456983632883151802e+00 1.176758289629211029e+00 2.802253432539407174e-01
3.194618264753729445e-04 1.428402448250962076e+00 1.150749033356355033e+00 2.776534148946070979e-01
3.221743516376075907e-04 1.400449193765511691e+00 1.125369157958055144e+00 2.750800358074566021e-01
3.249099086369691214e-04 1.373107815905454610e+00 1.100601731402503169e+00 2.725060845029513845e-01
3.276686930349699957e-04 1.346362746565505475e+00 1.076430335335391231e+00 2.699324112301141332e-01
3.304509020536190657e-04 1.320198885834424241e+00 1.052839047281920459e+00 2.673598385525037258e-01
3.332567345895216804e-04 1.294601585478929007e+00 1.029812423559627543e+00 2.647891619193016854e-01
3.360863912280994304e-04 1.269556633100469734e+00 1.007335482869239796e+00 2.622211502312299936e-01
3.389400742579278003e-04 1.245050236933558319e+00 9.853936905325092477e-01 2.596565464010490709e-01
3.418179876851997509e-04 1.221069011255910386e+00 9.639729433475200393e-01 2.570960679083902356e-01
3.447203372483074795e-04 1.197599962382367655e+00 9.430595550336496879e-01 2.545404073487181340e-01
3.476473304325529835e-04 1.174630475215862724e+00 9.226402422396455805e-01 2.519902329762171433e-01
3.505991764849781568e-04 1.152148300330252617e+00 9.027021110898183487e-01 2.494461892404341297e-01
3.535760864293265634e-04 1.130141541560954588e+00 8.832326442444483616e-01 2.469088973165061984e-01
3.565782730811265324e-04 1.108598644080740714e+00 8.642196884519004474e-01 2.443789556288404052e-01
3.596059510629062012e-04 1.087508382939015972e+00 8.456514425709090732e-01 2.418569403681069541e-01
